top - 20:54:04 up  3:56,  1 user,  load average: 0,49, 0,52, 0,56
Tasks: 225 total,   1 running, 223 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0,0 us,  8,8 sy,  0,0 ni, 91,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7754,2 total,   2386,2 free,   2082,3 used,   3285,7 buff/cache
MiB Swap:   1560,0 total,   1560,0 free,      0,0 used.   4722,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   5552 wojtek    20   0 2456424 143560  85420 S   0,0   1,8   0:03.51 Isolated Web Co
   5579 wojtek    20   0 2678440 221112  97924 S   0,0   2,8   4:05.40 Isolated Web Co
   5974 wojtek    20   0 2568208 206200  94316 S   0,0   2,6   0:12.20 Isolated Web Co
   6035 wojtek    20   0 2379744  60908  48764 S   0,0   0,8   0:00.21 Web Content
   6064 wojtek    20   0 2379744  61160  49016 S   0,0   0,8   0:00.22 Web Content
   6076 wojtek    20   0  320052  41596  31656 S   0,0   0,5   0:00.14 RDD Process
   6078 wojtek    20   0  321076  41736  31716 S   0,0   0,5   0:00.14 Utility Process
   6119 wojtek    20   0  738404  75116  51852 S   0,0   0,9   0:09.59 nautilus
   6356 wojtek    20   0 2379744  61260  49056 S   0,0   0,8   0:00.20 Web Content
   6836 wojtek    20   0  665500  89320  48500 S   0,0   1,1   3:07.14 gedit
   8981 root      20   0       0      0      0 I   0,0   0,0   0:02.22 kworker/1:2-events
   9000 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/125-mei_me
   9001 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39-mmc0
   9002 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/42-mmc1
   9016 root      20   0       0      0      0 I   0,0   0,0   0:01.31 kworker/u8:33-flush-8:0
   9020 root      20   0       0      0      0 I   0,0   0,0   0:00.98 kworker/u8:38-events_unbound
   9025 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u9:2-hci0
   9166 wojtek    20   0 2736000  64748  49156 S   0,0   0,8   0:00.81 gjs
   9727 root      20   0       0      0      0 I   0,0   0,0   0:01.30 kworker/u8:0-events_unbound
   9825 root      20   0       0      0      0 I   0,0   0,0   0:00.98 kworker/0:0-events
  10174 root      20   0       0      0      0 I   0,0   0,0   0:02.16 kworker/0:1-events
  10437 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/1:3
  11063 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:2-events
  15191 wojtek    20   0   13928   3752   1920 S   0,0   0,0   0:00.00 bash
